udi,product_id,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,temp_difference,power_w,overstrain_index
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6951.5905601573495,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6826.722724152667,138.89999999999998
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,7749.387542560966,247.0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5927.504658915662,276.5
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5897.816608339238,360.0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6252.554778807085,460.9
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6917.703247400628,593.6
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6428.264055922363,643.2
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,4992.6399890359235,514.8000000000001
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5104.878622573175,588.0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4459.993426595285,573.5999999999999
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6601.4181710127195,1284.6999999999998
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7165.229332576969,1737.4
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5472.6544025534195,1110.0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4176.85215270275,784.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7815.528539894543,2032.8
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6397.602111623326,2050.4
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6733.061375173645,2143.2000000000003
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7453.6380101520235,2725.0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5554.335811546754,1787.5
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6148.358622463024,2476.6000000000004
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6802.595292573098,2822.3999999999996
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5082.75133831639,1995.5
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4731.3013681593,1747.6
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6097.339157768725,2611.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4540.784717670103,1700.9
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,6175.114519896097,2925.0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,4665.327922433915,1894.2
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,6660.574360679816,3624.4
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,5336.445417069278,2528.4
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,6758.592051471817,4145.2
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,4801.296052481281,2269.5
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,7177.251160464705,4395.3
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5666.647748912589,3022.5
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5665.0560086347705,3296.5000000000005
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,7389.779903480055,4762.8
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6076.122935381483,3706.7000000000003
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5907.115722593864,4076.8
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7321.513095117549,5374.200000000001
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7422.012644105886,5827.5
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6475.3251138731375,5130.2
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7277.436550187683,5842.0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7033.900287681403,5744.7
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,6968.2619451724,5820.0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7322.005277966611,5937.5
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7656.050824822814,6284.8
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4979.36152408675,3354.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6875.20797077307,6157.9
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,8043.262591353267,7276.5
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6520.815375497118,6174.0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1378.1748092277942,657.8
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7951.02543104387,7960.5
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6866.327735538923,6438.599999999999
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5752.41322835559,5335.2
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5330.141287811075,4635.400000000001
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6444.286178455671,6349.200000000001
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6558.053720417668,6699.2
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6385.171876690622,6448.0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5131.215640985769,4779.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7850.127946986078,8976.0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7673.004953176687,8784.2
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6368.469075749037,6455.8
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4386.092695407341,3938.7999999999997
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4914.581883569728,4506.599999999999
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6156.244020023535,6832.2
